id;titulo;titulo_ingles;valoracion;generos;tipo
98;Mai-HiME;My-Hime;7.54;Action|Comedy|Drama|Fantasy|Magic|Mecha|Romance|School|Shoujo Ai;TV
99;Mai-Otome;My-Otome;7.36;Comedy|Drama|Fantasy|Magic;TV
100;Shin Shirayuki-hime Densetsu Prétear;Prétear: The New Legend of Snow White;7.29;Comedy|Drama|Fantasy|Magic|Romance|Shoujo|Super Power;TV
101;Air;Air;7.41;Slice of Life|Supernatural|Drama|Romance;TV
102;Aishiteruze Baby★★;;7.54;Comedy|Drama|Romance|Shoujo;TV
103;Akazukin Chacha;Red Riding Hood Chacha;7.47;Adventure|Comedy|Fantasy|Magic|Romance|Shoujo;TV
104;Ayashi no Ceres;Ceres, Celestial Legend;7.33;Adventure|Comedy|Horror|Psychological|Supernatural|Drama|Romance|Shoujo;TV
105;Boys Be...;Boys Be...;6.53;Slice of Life|Comedy|Romance|Shounen;TV
106;Hana yori Dango;Hana Yori Dango;7.84;Drama|Romance|School|Shoujo;TV
107;Ou Dorobou Jing;Jing: King of Bandits;7.31;Adventure|Comedy|Fantasy|Sci-Fi|Shounen;TV
108;Ou Dorobou Jing in Seventh Heaven;Jing: King of Bandits - Seventh Heaven;7.38;Adventure|Fantasy|Psychological|Comedy|Shounen;OVA
109;Bakuretsu Tenshi;Burst Angel;6.89;Adventure|Comedy|Mecha|Sci-Fi;TV
110;Chuuka Ichiban!;;7.70;Action|Comedy|Drama|Shounen;TV
111;Corrector Yui;Corrector Yui;6.89;Sci-Fi|Adventure|Comedy|Magic;TV
112;Chou Henshin Cosprayers;The Cosmopolitan Prayers;5.04;Action|Ecchi|Adventure|Fantasy|Magic|Comedy|Super Power|Sci-Fi;TV
113;Uchuu no Stellvia;Stellvia;7.45;Action|Mecha|Romance|Sci-Fi|Space;TV
114;Sakigake!! Cromartie Koukou;Cromartie High School;7.99;Comedy|School|Shounen;TV
115;El Hazard: The Alternative World;;6.90;Adventure|Comedy|Fantasy;TV
116;El Hazard: The Wanderers;El-Hazard: The Wanderers;7.05;Adventure|Comedy|Romance|Fantasy;TV
117;El Hazard: The Magnificent World;;7.39;Adventure|Comedy|Fantasy|Romance;OVA
118;El Hazard 2: The Magnificent World;;6.94;Adventure|Comedy|Fantasy;OVA
119;Final Approach;;6.64;Comedy|Drama|Romance|Slice of Life;TV
120;Fruits Basket;Fruits Basket;7.77;Slice of Life|Comedy|Drama|Romance|Fantasy|Shoujo;TV
121;Fullmetal Alchemist;Fullmetal Alchemist;8.28;Action|Adventure|Comedy|Drama|Fantasy|Magic|Military|Shounen;TV
122;Full Moon wo Sagashite;Searching for the Full Moon;8.05;Music|Comedy|Supernatural|Drama|Romance|Shoujo;TV
123;Fushigi Yuugi;Mysterious Play;7.75;Adventure|Fantasy|Magic|Martial Arts|Comedy|Romance|Historical|Drama|Shoujo;TV
124;Fushigi Yuugi: Eikouden;Mysterious Play: Eikoden;6.96;Adventure|Fantasy|Romance|Drama|Shoujo;OVA
125;Futakoi;Twin Love;6.58;Comedy|Romance|School;TV
126;Futakoi Alternative;;6.98;Comedy|Drama|Romance;TV
