id;titulo;titulo_ingles;valoracion;generos;tipo
8917;Mouretsu Pirates;Bodacious Space Pirates;7.21;Sci-Fi|Space;TV
8918;Princess Lover! OVA;;6.80;Hentai;OVA
8919;Licca-chan no Nichiyoubi;;6.10;Adventure;OVA
8920;Inuki Kanako Zekkyou Collection: Gakkou ga Kowai!;;5.62;Horror;OVA
8921;Believe;;5.99;Action|Super Power|Music;Music
8925;Kobe to Watashi;;4.56;Comedy|Slice of Life;ONA
8928;Visions of Frank: Short Films by Japan's Most Audacious Animators;Visions of Frank;5.95;Dementia;OVA
8934;Star Driver: Kagayaki no Takuto;Star Driver;7.31;Action|Romance|Mecha|Shounen;TV
8935;Nekketsu Uchuujin;Hot-blooded Alien;5.31;Comedy|Sci-Fi;ONA
8936;Melody;;5.90;Drama;ONA
8937;Toaru Majutsu no Index II;A Certain Magical Index II;7.78;Action|Magic|Sci-Fi|Super Power;TV
8939;Bohemian Rhapsody;;5.94;Music|Sci-Fi|Space;Music
8949;Tottoko Hamtarou OVA 2: Hamuchanzu no Takara Sagashi Daisaku - Hamuha! Suteki na Umi no Natsuyasumi;Hamtaro: Ham-Hams Ahoy!;6.54;Kids;OVA
8950;Akage no Anne: Green Gables e no Michi;;6.64;Adventure|Slice of Life|Historical|Shoujo;Movie
8952;Nougyou Musume!;;5.12;Comedy;Special
8953;Nine;;6.36;Action|School|Shounen|Sports;Special
8955;Senjutsu Choukoukaku Orion;;5.41;Action|Adventure|Comedy|Fantasy|Sci-Fi;Special
8956;Denkou Chou Tokkyuu Hikarian;;6.58;Action|Adventure|Kids;TV
8957;Susume! Gachimuchi Sankyoudai;;4.93;Comedy;ONA
8958;Potecco Babies;;5.15;Comedy;ONA
8959;Nanchatte!;;3.82;Parody|Comedy;ONA
8960;MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu;;6.29;Action|Comedy;TV
8961;Tono to Issho: Ippunkan Gekijou;;6.31;Comedy|Samurai|Seinen;TV
8963;Stitch!: Piko Kara no Chousenjou;;5.91;Adventure|Comedy|Kids;Special
8964;Stitch!: Zutto Saikou no Tomodachi;;6.15;Adventure|Comedy|Kids;TV
8965;Tottoko Hamtarou OVA 3: Hamuchanzu to Niji no Kuni no Oujisama - Sekai de Ichiban no Takaramono;;6.52;Kids|Adventure|Comedy;OVA
8966;Tottoko Hamtarou OVA 4: Hamuchanzu no Mezase! Hamuhamu Kin Medal - Hashire! Hashire! Daisakusen;Hamtaro: Ham-Ham Games;6.47;Adventure|Comedy|Kids;OVA
8967;Hidari no O'Clock!!;;6.11;Drama;OVA
8968;Shogi Hour;Shogi Hour;4.97;Parody|Game|Comedy;ONA
8972;Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami;;5.81;Magic|Shoujo;Movie
8985;Yojouhan Shinwa Taikei Specials;The Tatami Galaxy Specials;6.34;Comedy;Special
8986;Supernatural The Animation;;7.11;Action|Demons|Horror|Supernatural;OVA
8987;Princess Knight☆Catue;;6.72;Hentai;OVA
8993;Juliet;;5.00;Hentai|Comedy|Supernatural;OVA
8995;Tales of Symphonia The Animation: Sekai Tougou-hen;;7.57;Action|Adventure|Magic|Martial Arts|Fantasy;OVA
8999;Origami Warriors;;7.04;Action|Adventure;TV
9000;Toaru Hikuushi e no Tsuioku;The Princess and the Pilot;7.74;Adventure|Military|Romance;Movie
9001;Je T'aime;;6.67;Sci-Fi;OVA
9002;True Tears: Raigomaru to Jibeta no Monogatari;;6.25;Kids;Special
9005;To Heart 2 Adnext;;6.85;Comedy|Harem|Romance;OVA
9006;Rei Zero;;6.24;Hentai;OVA
9007;Sore Ike! Anpanman: Black Nose to Mahou no Uta;;6.00;Comedy|Fantasy|Kids;Movie
9008;Netorare Fighter Yaricchingu!;;6.31;Hentai;OVA
9009;Otome Juurin Yuugi: Maiden Infringement Play;;6.42;Hentai;OVA
9013;Kuruneko 2nd Season;;7.24;Comedy|Slice of Life;TV
9014;Kuttsukiboshi;;6.30;Romance|Supernatural|Drama|Shoujo Ai;OVA
9015;O-bake no... Holly;;6.25;Comedy|Fantasy|Kids|Magic;TV
9023;Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview;;7.51;Comedy;Special
9028;Edokko Boy: Gatten Tasuke;;6.18;Comedy|Martial Arts|Police|Sports;TV
9032;Inazuma Eleven: Saikyou Gundan Ogre Shuurai;;7.46;Shounen|Sports|Super Power;Movie
9035;Lupin the Third x Monkey Majik;;6.43;Adventure|Music;Music
9040;Mokei Senshi Gunpla Builders Beginning G;;6.75;Action|Mecha|Sci-Fi|Shounen;Special
9041;IS: Infinite Stratos;Infinite Stratos;7.01;Action|Sci-Fi|Harem|Comedy|Ecchi|Mecha;TV
9043;Majuu Sensen;;6.03;Action|Fantasy;OVA
9045;Jack to Mame no Ki (OVA);;5.97;Adventure|Kids|Fantasy;OVA
9047;Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desukara;;7.53;Action|Sci-Fi|Super Power;OVA
9053;Ice Movie;;5.60;Action|Sci-Fi|Military;Movie
9055;Tamayura;;7.19;Slice of Life|Comedy|Drama;OVA
9056;Agitated Screams of Maggots;;4.32;Dementia|Music|Horror;Music
9061;RPG Densetsu Hepoi;;6.88;Adventure|Fantasy;TV
9062;Angel Beats! Specials;;7.73;Action|Comedy|Supernatural|School;Special
9063;Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.;;6.90;Comedy|Ecchi;OVA
9065;Hakuouki Hekketsuroku;Hakuoki ~Demon of the Fleeting Blossom~ Record of the Jade Blood;7.72;Action|Drama|Historical|Josei|Samurai|Supernatural;TV
9070;Oden-kun;;7.09;Comedy;TV
9074;Arakawa Under the Bridge x Bridge;Arakawa Under the Bridge x Bridge;7.81;Comedy|Romance|Seinen;TV
9077;Rokudenashi Blues;;6.14;Sports|Comedy|School|Drama|Shounen;Movie
9078;Rokudenashi Blues 1993;;6.36;Action|Comedy|School|Drama|Sports|Shounen;Movie
9087;Mobile Suit SD Gundam Musha, Knight, Commando;Musha, Knight, Commando: SD Gundam Emergency Sortie;5.93;Action|Fantasy|Mecha|Comedy|Parody;Movie
9088;Saiyuuki Gaiden;;7.96;Action|Adventure|Drama|Fantasy;OVA
9091;Ikusa Otome Suvia Special;;5.89;Fantasy|Hentai;Special
9095;Hitomi no Naka no Shounen: Juugo Shounen Hyouryuuki;The Story of Fifteen Boys;6.78;Adventure|Historical;Special
9098;Mobile Suit SD Gundam Festival;Mobile Suit SD Gundam Festival;6.07;Action|Comedy|Fantasy|Mecha|Parody;Movie
9100;Umi Monogatari: Marin no Kore Naani?;"Umi Monogatari: Marin's ""What Is This?""";6.34;Comedy;Special
9106;Nogsaegjeoncha Hamos;Hamos: The Green Chariot;6.38;Action|Adventure|Fantasy|Shounen;TV
9107;Pokemon Best Wishes!;Pokémon: Black & White;6.61;Action|Adventure|Comedy|Fantasy|Kids;TV
9117;Amagami SS OVA;Amagami SS;7.34;Romance|School;OVA
9119;Chirorin Mura Monogatari;Nutsberry Town;6.70;Kids|Slice of Life;TV
9120;Beelzebub: Hirotta Akachan wa Daimaou!?;;7.33;Action|Supernatural|Comedy|School|Demons|Shounen;Special
9121;Heroman Specials;;6.39;Action|Sci-Fi|Shounen;Special
9124;Ookiku Furikabutte: Natsu no Taikai-hen – Mokuhyou;;7.49;Comedy|Seinen|Sports;Special
9127;Zettai Karen Children Gentei Kaikin!! OVA Chou Sakidori Special!!;;6.96;Action|Comedy|Shounen|Supernatural;OVA
9130;Saint Seiya: The Lost Canvas - Meiou Shinwa 2;Saint Seiya: The Lost Canvas 2;8.25;Action|Adventure|Martial Arts|Shounen|Super Power|Supernatural;OVA
9135;Fullmetal Alchemist: The Sacred Star of Milos;Fullmetal Alchemist: The Sacred Star of Milos;7.42;Action|Adventure|Comedy|Drama|Fantasy|Magic|Military|Shounen;Movie
9136;Kuroshitsuji II Specials;Black Butler II Specials;7.67;Fantasy|Supernatural|Comedy|Parody|Shounen;Special
9154;Kindaichi Shounen no Jikenbo Movie 2: Satsuriku no Deep Blue;Young Kindaichi's Casebook: Deep Blue Massacre;7.10;Mystery|Shounen;Movie
9159;Kaibutsu Oujo (OVA);;7.16;Action|Comedy|Horror|Supernatural|Shounen;OVA
9163;Attack No.1 (1970);;6.34;Sports|Drama|Shoujo;Movie
9164;Attack No.1: Namida no Fushichou;;6.20;Sports|Drama|Shoujo;Movie
9165;Attack No.1: Namida no Kaiten Receive;;6.24;Sports|Drama|Shoujo;Movie
9166;Attack No.1: Namida no Sekai Senshuken;;6.33;Sports|Drama|Shoujo;Movie
9167;Shukufuku no Campanella Specials;;5.92;Ecchi;Special
9170;Kimi ga Nozomu Eien: Gundam Parody;;5.54;Mecha|Parody|Sci-Fi|Space;Special
9172;Kaitei Sanman Mile;;6.12;Adventure|Fantasy;Movie
9175;Tsuruhime Ja!;;5.43;Kids|Slice of Life|Comedy|Shoujo;TV
9177;Burning Blood;;6.25;Sports|Shounen;OVA
9181;Motto To LOVE-Ru;Motto To LOVE Ru;7.50;Sci-Fi|Harem|Comedy|Ecchi|School|Shounen;TV
9200;Dae Jang Geum: Jang Geum's Dream 2;;7.17;Adventure|Comedy|Historical;TV
9201;Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky;;7.72;Action|Comedy|Ecchi|Shounen|Sports;OVA
9202;Seikon no Qwaser: Jotei no Shouzou;The Qwaser of Stigmata: Portrait of the Empress;6.51;Action|Super Power|Supernatural|Ecchi|Seinen;OVA
9203;K-On!!: Ura-On!!;K-ON!!: Ura-On!!;6.57;Comedy;Special
9204;Omae Umasou da na;You Are Umasou;8.08;Action|Adventure|Fantasy|Kids;Movie
9205;Kaichuu!;;5.91;Comedy|Seinen|Sports;ONA
9211;Shikatte Ingo: Misaki Shunin no Buka Kyouiku-hen;Scold with Dirty Words;5.69;Hentai;OVA
9212;Ruri-iro Princess;;5.43;Romance|Shoujo;OVA
9213;Kowarekake no Orgel;;7.42;Drama|Music|Sci-Fi|Slice of Life;OVA
9220;Seikimatsu Occult Gakuin Specials;Occult Academy Specials;6.57;Comedy|Supernatural|School;Special
9221;Kanzen Shouri Daiteiou;;4.99;Action|Adventure|Kids|Mecha|Sci-Fi;OVA
9228;Wan Wan Chuushingura;;5.91;Action|Adventure|Drama|Fantasy;Movie
9232;Yebisu Celebrities 1st;;6.07;Yaoi;OVA
9239;Scoopers;;5.65;Action|Sci-Fi;OVA
9241;Super Robot Taisen OG: The Inspector;Super Robot Wars OG: The Inspector;7.32;Action|Mecha|Sci-Fi|Space;TV
9242;Nine: Original Han;;6.23;Action|School|Sports;Movie
9243;Nine 2: Koibito Sengen;;6.29;Action|School|Sports;Special
9244;Nine 3: Kanketsu-hen;;6.11;Action|Sports|School;Special
9252;Break Blade 3: Kyoujin no Ato;Broken Blade 3;7.87;Action|Fantasy|Mecha|Military|Shounen;Movie
9253;"Steins;Gate";"Steins;Gate";9.14;Thriller|Sci-Fi;TV
9254;Mianhada Saranghanda;;6.21;Drama;Movie
9257;Denki Musou Hana;Electric Full Flower Garden;4.98;Hentai;OVA
9260;Kizumonogatari I: Tekketsu-hen;Kizumonogatari Part 1: Tekketsu;8.43;Mystery|Supernatural|Vampire;Movie
9264;Hana no Ko Lunlun: Konnichiwa Sakura no Kuni;;5.93;Magic|Drama|Shoujo;Movie
9270;Imbalance Girl;;5.26;Hentai;OVA
9274;Chou Seimeitai Transformers Beast Wars Metals: Convoy Daihenshin!;;5.94;Action|Mecha|Sci-Fi|Super Power;Movie
9279;Bara no Hana to Joe;;5.75;Kids|Drama;Movie
9282;Duel Masters Movie 3: Honoo no Kizuna XX;;6.08;Game|Shounen;Movie
9284;Bakuhatsu Gorou;;5.44;Comedy|Sports;TV
9287;Inyouchuu Shoku: Ryoushokutou Taimaroku - Kanzenhan;Inyouchuu Shoku;6.29;Hentai|Horror|Demons|Supernatural|Fantasy;OVA
9288;Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... Desu ka!?;;7.69;Fantasy|Kids|Magic|Shoujo;Movie
9289;Hanasaku Iroha;Hanasaku Iroha: Blossoms for Tomorrow;8.00;Slice of Life|Comedy|Drama;TV
9290;Moyashimon CGI Anime;;6.27;Comedy|School|Supernatural;OVA
9291;Hello Kitty no Cinderella;Hello Kitty in Cinderella;6.47;Kids|Fantasy;Movie
9292;Kiki to Lala no Aoi Tori;;6.01;Kids;Movie
9303;Noel no Fushigi na Bouken;Noel's Fantastic Trip;5.85;Adventure|Comedy|Fantasy;Movie
9304;Happy Day;;4.46;Hentai;OVA
9308;Oni Chichi 2;;6.89;Hentai;OVA
9309;Kansen 3: Shuto Houkai;;6.57;Hentai;OVA
9310;Ryoujoku Famiresu Choukyou Menu;;6.62;Hentai;OVA
9311;Kateikyoushi no Oneesan 2 The Animation: H no Hensachi Agechaimasu;;7.15;Hentai;OVA
9312;Mofukuzuma;;6.29;Hentai;OVA
9314;Fractale;Fractale;7.02;Adventure|Fantasy|Sci-Fi;TV
9316;Toushindai My Lover: Minami tai Mecha-Minami;;4.95;Hentai;OVA
9317;Doll Saaya;;4.67;Hentai;OVA
9318;Samero;Wake Up;4.48;Dementia;Movie
9322;HHH Triple Ecchi;;7.38;Hentai;OVA
9324;Elf 17;;5.68;Adventure|Martial Arts|Comedy|Mecha;OVA
9325;Shinseiki Cream Lemon;;5.73;Hentai|Yuri;OVA
9326;Yubisaki Annainin Shirudaku Settai Okawari Sanhaime;;5.95;Hentai;OVA
9327;Seme♥Chichi;;6.01;Hentai;OVA
9328;Shoujo Senki Soul Eater;;6.63;Hentai;OVA
9330;Dragon Crisis!;;6.84;Action|Magic|Romance|School|Seinen|Supernatural;TV
9331;Yumekui Merry;Dream Eater Merry;7.03;Action|Supernatural;TV
9332;.hack//Quantum;;7.27;Action|Adventure|Fantasy|Game|Sci-Fi;OVA
9333;Koi☆Sento;Coicent;6.50;Comedy|Romance;OVA
9334;Mecha☆Afro-kun;Mecha Afro-kun;6.19;Comedy;OVA
9335;Megane na Kanojo;;6.73;Comedy|Romance|School|Shounen;OVA
9337;Mayo Elle Otoko no Ko;;5.08;Comedy|School;OVA
9338;Ore no Sora Keiji-hen;;6.03;Action|Police|Drama;OVA
9339;Kuma no Gakkou: Jackie to Katie;;5.82;Comedy|Kids;Movie
9340;Cheburashka;;7.42;Comedy;Movie
9341;Try Z;;5.29;Hentai;OVA
9342;Twinkle Nora Rock Me!;;4.13;Action|Sci-Fi;OVA
9343;Bousou Sengokushi;;5.18;Action;OVA
9344;Torajima no Miime;;6.28;Slice of Life;Special
9345;Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!;;5.78;Comedy|Horror|School|Supernatural;TV
9346;Battle Spirits: Brave;;7.14;Game|Military|Sci-Fi|Adventure|Demons;TV
9347;Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho;;6.99;Harem|Comedy|Romance|Vampire|Fantasy;OVA
9348;Chibi Maruko-chan: Watashi no Suki na Uta;;7.10;Music|Slice of Life|Drama|Romance|Shoujo;Movie
9349;Shizukanaru Don: Yakuza Side Story;;5.54;Action|Comedy|Drama|Seinen;OVA
9351;Geunyeoneun Yeppeotda;Life is Cool;6.57;Comedy|Drama|Romance;Movie
9352;Tenshi no Habataki Jun;;4.88;Hentai;OVA
9353;D.C. I&II P.S.P. Re-Animated;;6.77;Magic|Harem|Romance|Drama;OVA
9355;Sekirei: Pure Engagement Episode 0;;7.35;Ecchi|Comedy|Harem;Special
9356;Cool Cool Bye;;5.25;Action|Adventure|Fantasy;OVA
9361;Molly Star-Racer;;5.70;Mecha|Music;Music
9362;Hyakka Ryouran: Samurai Girls Specials;;6.71;Ecchi;Special
9365;Wellber no Monogatari: Kanashimi no Senshi Galahad no Banka;Sisters of Wellber - Elegy for a Sad Warrior;5.73;Action|Adventure|Comedy|Fantasy;OVA
9366;Kaichou wa Maid-sama!: Omake dayo!;Maid Sama!: Omake dayo;7.56;Comedy|School|Shoujo;Special
9367;Freezing;Freezing;7.09;Action|Sci-Fi|Harem|Drama|Romance|Ecchi|Martial Arts|Seinen;TV
9371;Karl to Fushigi na Tou;;5.38;Adventure|Mystery|Kids|Fantasy;TV
9375;Netorare: Tanabe Yuuka no Dokuhaku;;5.64;Hentai;OVA
9376;Yamato Takeru: After War;;6.54;Action|Adventure|Fantasy|Magic|Space|Mecha|Sci-Fi|Shounen;OVA
9379;Denpa Onna to Seishun Otoko;Ground Control to Psychoelectric Girl;7.26;Sci-Fi|Slice of Life|Comedy;TV
9383;Chie-chan Funsenki: Jarinko Chie;;7.24;Slice of Life|Comedy|Drama|Seinen;TV
9385;Rokushin Gattai GodMars (1982);Six God Combination GodMars: The Movie;6.05;Action|Mecha|Sci-Fi|Space;Movie
9387;Ginga Hyouryuu Vifam: Kachua Kara no Tayori;;5.85;Action|Adventure|Mecha|Sci-Fi;OVA
9388;Ginga Hyouryuu Vifam: Atsumatta 13-nin;;6.06;Action|Adventure|Mecha|Sci-Fi;OVA
9389;Ginga Hyouryuu Vifam: Kieta 12-nin;;6.35;Sci-Fi|Adventure|Space|Mecha;OVA
9390;Ginga Hyouryuu Vifam: Keito no Kioku - Namida no Dakkai Sakusen;;6.51;Action|Adventure|Mecha|Sci-Fi;OVA
9391;Ginga Hyouryuu Vifam 13;;6.80;Action|Adventure|Mecha|Sci-Fi;TV
9392;Shounen Jack to Mahoutsukai;Young Jack and the Witch;5.44;Adventure|Fantasy;Movie
9393;T.P. Sakura: Time Paladin Sakura;;5.97;Action|Magic;OVA
9395;Miyanishi Tatsuya Gekijou: Omae Umasou da na;;6.48;Adventure|Kids;TV
9396;Mitsudomoe Special;;7.64;Slice of Life|Comedy|School;Special
9403;Shin Mashin Eiyuuden Wataru Majinzan;;6.50;Action|Adventure|Fantasy|Comedy|Mecha|Sci-Fi;OVA
9404;Shiawase no Katachi;Figures of Happiness;6.36;Comedy;OVA
9409;D-1 Devastator;;5.69;Mecha|Sci-Fi;OVA
9416;Renshenguo;;6.40;Adventure;Movie
9417;The Monkey King Conquers the Demon;;6.37;Adventure;Movie
9421;SMAnime;;6.46;Action|Seinen;OVA
9423;Koko ni Iru;;6.03;Slice of Life;ONA
9424;Seupideuwang Beongae;Wings of Dragon;6.18;Action|Game|School|Shounen|Sports;TV
9426;Pururun! Shizuku-chan;;5.73;Comedy|Kids;TV
9433;A-jang.com;;5.87;Fantasy;TV
9434;Fighting of Ecstasy;;5.84;Hentai;OVA
9435;Ane Jiru 2 The Animation: Shirakawa Sanshimai ni Omakase;;7.09;Hentai;OVA
9438;Rainbow Sentai Robin;;6.25;Action|Adventure|Sci-Fi;TV
9441;Yume-iro Pâtissière SP Professional;;7.75;Slice of Life|Shoujo;TV
9442;Bust to Bust: Chichi wa Chichi ni;;6.75;Hentai;OVA
9445;Gunparade Orchestra OVA;;6.01;Mecha;OVA
9446;Sore Ike! Anpanman: Niji no Pyramid;;5.82;Comedy|Kids;Movie
9447;Byulbyul Iyagi 2;;5.21;Psychological|Drama;Movie
9451;Sore Ike! Anpanman: Ningyohime no Namida;;6.05;Comedy|Kids;Movie
9455;Ninpen Manmaru;;6.52;Comedy|Samurai|Shounen;TV
9464;Ganbare Goemon: Chikyuu Kyuushutsu Daisakusen;;6.11;Comedy|Shounen;OVA
9465;Break Blade 4: Sanka no Chi;Broken Blade 4;7.93;Action|Fantasy|Mecha|Military|Shounen;Movie
9467;Kanojo ga Mimai ni Konai Wake;;6.47;Drama|Hentai;OVA
9471;Baka to Test to Shoukanjuu: Matsuri;Baka & Test - Summon the Beasts OVA;7.73;Comedy|School|Super Power;OVA
9479;Coppelion;Coppelion;6.54;Action|Sci-Fi|Seinen;TV
9486;Ikusa Otome Valkyrie Specials;;5.68;Hentai;Special
9487;Hitou Meguri Kakure Yu;;6.16;Hentai;OVA
9488;Cencoroll 2;;N/A;Action|Sci-Fi;Movie
9491;Katsugeki Shoujo Tanteidan;;5.06;Action|Comedy|School;OVA
9493;Dororon Enma-kun Meeramera;Ghastly Prince Enma Burning Up;6.60;Action|Comedy|Parody|Super Power|Demons|Supernatural|Magic|Ecchi;TV
9494;Soukyuu no Fafner: Arcadian Memory;Fafner of the Blue Sky: Arcadian Memory;6.65;Action|Military|Sci-Fi|Drama|Mecha;OVA
9495;Inochi no Chikyuu: Dioxin no Natsu;The Summer of Dioxin;6.59;Drama;Movie
9496;Itoshi no Betty Mamonogatari;;5.15;Fantasy|Romance|Seinen;Movie
9498;Naniwa Yuukyouden;;5.82;Action|Comedy;OVA
9499;Dokushin Apartment Dokudamisou;;5.69;Slice of Life|Comedy|Ecchi|Seinen;OVA
9500;Starlight Scramble Renai Kouhosei;;6.33;Action|Romance|Sci-Fi;OVA
9501;Greek Roman Sinhwa: Olympus Guardian (Movie);;5.96;Adventure|Fantasy|Historical;Movie
9502;Egao no Hana;;5.75;Music|Kids;Music
9503;Hokenshitsu de Aimashou;;4.85;Hentai;OVA
9504;Sakura no Mori;;5.03;Hentai;OVA
9506;Prism Magical: Prism Generations!;;5.19;Comedy|Ecchi|Magic;OVA
9507;Binetsu: Yakusoku no Toki;;5.03;Hentai;OVA
9509;Yami no Purple Eye;Purple Eyes in the Dark;4.93;Psychological|Supernatural|Music|Horror|Mystery|Shoujo;Music
9510;Mitsudomoe Zouryouchuu!;;7.78;Slice of Life|Comedy|School;TV
9513;Beelzebub;Beelzebub;8.02;Action|Comedy|Demons|Supernatural|School|Shounen;TV
9515;Highschool of the Dead: Drifters of the Dead;;6.75;Ecchi|Comedy|Supernatural;OVA
9518;Ichigo Ichie: Kimi no Kotoba;;6.40;Slice of Life|Comedy|School;TV
9519;Medaka no Gakkou;;6.65;Comedy;OVA
9520;Zero Tester;;6.20;Action|Sci-Fi|Adventure|Mecha;TV
9521;Tie Shan Gongzhu;;5.79;Action|Adventure|Fantasy;Movie
9522;Zero Tester: Chikyuu wo Mamore!;;5.23;Action|Adventure|Mecha|Sci-Fi;TV
9523;Minori Scramble!;;6.33;Comedy;OVA
9525;Junod;Dr. Junod;6.40;Drama|Historical;Special
9526;Wolf Guy;;5.54;Action|Military|Sci-Fi;OVA
9528;Transformers Superlink Special;;5.95;Sci-Fi|Adventure|Kids|Mecha|Shounen;Special
9531;Tezuka Osamu Monogatari: Boku wa Son Gokuu;;6.51;Adventure;Special
9533;Pururun! Shizuku-chan Aha;;5.38;Comedy|Kids;TV
9535;Gongitsune;;6.58;Adventure;Movie
9536;Robin-kun to 100 nin no Otomodachi;Robin with his 100 Friends;5.19;Comedy|Kids;ONA
9539;Cardfight!! Vanguard;Cardfight!! Vanguard;7.20;Action|Adventure|Demons|Game|Shounen;TV
9540;Bucket de Gohan;;6.04;Comedy;TV
9542;Puttsun Make Love;;6.00;Comedy|Ecchi|Romance;OVA
9544;Biohazard: Damnation;;7.33;Action|Sci-Fi|Horror;Movie
9545;Elf Hime Nina;;6.55;Fantasy|Hentai|Supernatural;OVA
9546;Shirahata no Shoujo Ryuuko;;7.09;Drama;Movie
9547;Alps no Shoujo Heidi (1979);The Story of Heidi;6.91;Drama|Historical|Slice of Life;Movie
9548;Alps no Shoujo Heidi: Alm no Yama-hen;;6.54;Slice of Life|Historical|Drama;Movie
9549;Alps no Shoujo Heidi: Heidi to Clara-hen;;6.59;Slice of Life|Historical|Drama;Movie
9558;Changjiang Qi Hao Ai Diqiu;CJ7: The Cartoon;6.46;Kids;Movie
9561;Shokupan Mimi;;5.64;Comedy;TV
9562;Tachumaru Gekijou;;5.92;Comedy|Parody;TV
9563;Hidamari Sketch x ☆☆☆ Specials;;7.89;Slice of Life|Comedy|School|Seinen;Special
9566;Umi kara no Shisha;;6.27;Action|Mecha|Super Power|Sci-Fi;Movie
9568;Peace Maker Kurogane Special;Peace Maker Kurogane: Festival of Gion;6.82;Action|Comedy|Samurai|Historical|Drama|Shounen;Special
9575;Nodoka Mori no Doubutsu Daisakusen;Peter of Placid Forest;5.84;Fantasy;Special
9581;MM! Specials;MM! Hidden Camera Shorts;6.74;Comedy|Ecchi|School;Special
9584;Kappa no Sanpei;;6.05;Adventure|Kids|Supernatural;Movie
9587;Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!;;6.26;Harem|Comedy|Romance|Ecchi;TV
9588;Kyouiku Shidou The Animation;;6.40;Hentai;OVA
9591;Code Geass: Hangyaku no Lelouch R2 Flash Specials;Code Geass: Lelouch of the Rebellion R2 Extra Flash - Baba Theater Redux;6.18;Parody;Special
9595;Amanatsu;;6.15;Sci-Fi;Movie
9598;Haiyoru! Nyaruani: Remember My Love(craft-sensei);Haiyoru! Nyaruani: Remember My Mr. Lovecraft;6.30;Comedy|Sci-Fi;TV
9599;Miyazaki Maya Daizukan;;5.92;Hentai;OVA
9600;G-Taste (2010);G-Best;5.35;Ecchi|Yuri;OVA
9606;Kaba no Potomasu;;5.23;Kids;Movie
9608;Yuri Seijin Naoko-san;;5.89;Comedy|Shoujo Ai;OVA
9611;Aa! Megami-sama! (2011);;7.42;Comedy|Magic|Romance|Seinen|Supernatural;OVA
9613;Big X;;6.20;Action|Historical|Sci-Fi|Shounen;TV
9617;K-On! Movie;K-ON! The Movie;8.34;Music|Slice of Life|Comedy;Movie
9618;Asobi ni Iku yo!: Asobi ni Oide;Cat Planet Cuties: Come Drop By;6.89;Comedy|Ecchi|Harem|Romance|Sci-Fi;OVA
9624;30-sai no Hoken Taiiku;A Thirty-Year Old's Health and Physical Education;6.78;Ecchi|Parody|Romance|Seinen;TV
9627;Kakko Kawaii Sengen!;;5.73;Comedy;TV
9629;Cyborg 009: The Reopening;;5.61;Action|Adventure|Mecha|Sci-Fi|Shounen;Special
9630;Mini Sengoku Basara Two: Tsukiyo no Katakura-kun;;6.93;Comedy|Historical;Special
9638;Ore wa Kanojo wo Shinjiteru!;;6.46;Hentai;OVA
9645;Be-Bop Highschool;;7.44;Comedy|School|Seinen;OVA
9646;Goddamn;;5.89;Action|Cars|Seinen|Sports;OVA
9650;Dream C Club Pure Songs Clips;;5.46;Music;Music
9656;Kimi ni Todoke 2nd Season;Kimi ni Todoke: From Me To You 2;8.11;Slice of Life|Drama|Romance|School|Shoujo;TV
9662;Timing;;5.35;Psychological|Horror;ONA
9665;Bucchigiri;;5.56;Sports;OVA
9667;Super Speed;;5.73;Music;Music
9673;Ura Tegamibachi;Letter Bee Reverse Specials;7.05;Comedy;Special
9675;Kami nomi zo Shiru Sekai: Flag 0;The World God Only Knows: Flag 0;6.97;Comedy|Shounen|Supernatural;OVA
9689;Agukaru;Agriculture Angel BARAKI;5.14;Magic|Supernatural|Slice of Life;ONA
9690;Densetsu no Yuusha no Densetsu: Iris Report;The Legend of the Legendary Heroes: Iris Report;6.59;Action|Adventure|Fantasy|Magic|Shounen;Special
9691;Kyomu Senshi Miroku;;5.99;Action|Sci-Fi|Historical|Demons|Supernatural|Samurai|Fantasy;OVA
9693;Moshidora;;6.96;Drama|Sports;TV
9706;Canaan: Minorikawa Report 201X Shanghai;Canaan: Minorikawa Report Year 201X Shanghai;6.68;Action|Seinen;Special
9708;Mobile Suit Gundam ZZ: Gundam Frag.;;5.75;Action|Mecha|Military|Sci-Fi;OVA
9712;Maria†Holic Alive;Maria†Holic Alive;7.03;Comedy|Parody|School|Shoujo Ai;TV
9716;Rurouni Kenshin: Review Special;;7.00;Action|Comedy|Samurai|Shounen;Special
9718;Gitai Saimin;;6.07;Hentai;OVA
9721;Aisai Nikki;;6.54;Hentai;OVA
9723;Hakuouki Hekketsuroku Episode 0;;7.19;Action|Harem|Historical|Supernatural|Drama|Samurai|Vampire|Josei;Special
9724;Break Blade 5: Shisen no Hate;Broken Blade 5;7.90;Action|Military|Fantasy|Mecha|Shounen;Movie
